Symbol,Company Name,Sector,Industry,Country,Region,Zip Code
SDIG,"Stronghold Digital Mining, Inc.",Financial Services,Capital Markets,United States,NY,10022
SDGR,"SchrÃ¶dinger, Inc.",Healthcare,Health Information Services,United States,NY,10036
SDOT,Sadot Group Inc.,Consumer Defensive,Farm Products,United States,TX,76107
SDST,Stardust Power Inc.,Industrials,Electrical Equipment & Parts,United States,CT,6830
SEAT,Vivid Seats Inc.,Communication Services,Internet Content & Information,United States,IL,60602
SELF,"Global Self Storage, Inc.",Real Estate,REITâ€”Specialty,United States,NY,12545-2855
SENEA,Seneca Foods Corporation,Consumer Defensive,Packaged Foods,United States,NY,14450
SEEL,"Seelos Therapeutics, Inc.",Healthcare,Biotechnology,United States,NY,10022
SDSTW,Stardust Power Inc.,Industrials,Electrical Equipment & Parts,United States,CT,6830
SEATW,Vivid Seats Inc.,Communication Services,Internet Content & Information,United States,IL,60602
SEIC,SEI Investments Company,Financial Services,Asset Management,United States,PA,19456
SEER,"Seer, Inc.",Healthcare,Biotechnology,United States,CA,94065
SERA,"Sera Prognostics, Inc.",Healthcare,Medical Devices,United States,UT,84109
SENEB,Seneca Foods Corporation,Consumer Defensive,Packaged Foods,United States,NY,14450
SERV,Serve Robotics Inc.,Industrials,Specialty Industrial Machinery,United States,CA,94063
SEVN,Seven Hills Realty Trust,Real Estate,REITâ€”Mortgage,United States,MA,02458-1634
SFBC,"Sound Financial Bancorp, Inc.",Financial Services,Banksâ€”Regional,United States,WA,98121
SEZL,Sezzle Inc.,Financial Services,Credit Services,United States,MN,55402
SFIX,"Stitch Fix, Inc.",Consumer Cyclical,Apparel Retail,United States,CA,94104
SFM,"Sprouts Farmers Market, Inc.",Consumer Defensive,Grocery Stores,United States,AZ,85054
SGA,"Saga Communications, Inc.",Communication Services,Broadcasting,United States,MI,48236
SFST,"Southern First Bancshares, Inc.",Financial Services,Banksâ€”Regional,United States,SC,29607
SGD,Safe and Green Development Corporation,Real Estate,Real Estateâ€”Development,United States,FL,33132
SGC,"Superior Group of Companies, Inc.",Consumer Cyclical,Apparel Manufacturing,United States,FL,33701
SFNC,Simmons First National Corporation,Financial Services,Banksâ€”Regional,United States,AR,71601
SGHT,"Sight Sciences, Inc.",Healthcare,Medical Devices,United States,CA,94025
SGH,"SMART Global Holdings, Inc.",Technology,Semiconductors,United States,CA,95035
SGBX,Safe & Green Holdings Corp.,Industrials,Metal Fabrication,United States,FL,33132
SGMA,"SigmaTron International, Inc.",Technology,Electronic Components,United States,IL,60007
SGMT,Sagimet Biosciences Inc.,Healthcare,Biotechnology,United States,CA,94402
SGML,Sigma Lithium Corporation,Basic Materials,Other Industrial Metals & Mining,Brazil,SP,01407-200
SGLY,Singularity Future Technology Ltd.,Industrials,Integrated Freight & Logistics,United States,NY,11021
SGRY,"Surgery Partners, Inc.",Healthcare,Medical Care Facilities,United States,TN,37027
SHCR,"Sharecare, Inc.",Healthcare,Health Information Services,United States,GA,30305
SGMO,"Sangamo Therapeutics, Inc.",Healthcare,Biotechnology,United States,CA,94804
SHC,Sotera Health Company,Healthcare,Diagnostics & Research,United States,OH,44147
SGRP,"SPAR Group, Inc.",Industrials,Specialty Business Services,United States,MI,48326
SHFS,"SHF Holdings, Inc.",Financial Services,Banksâ€”Regional,United States,CO,80401
SHEN,Shenandoah Telecommunications Company,Communication Services,Telecom Services,United States,VA,22824
SHCRW,"Sharecare, Inc.",Healthcare,Health Information Services,United States,GA,30305
SHBI,"Shore Bancshares, Inc.",Financial Services,Banksâ€”Regional,United States,MD,21601
SHIM,Shimmick Corporation,Industrials,Engineering & Construction,United States,CA,92618
SHOT,"Safety Shot, Inc.",Consumer Defensive,Beveragesâ€”Non-Alcoholic,United States,FL,33477
SHFSW,"SHF Holdings, Inc.",Financial Services,Banksâ€”Regional,United States,CO,80401
SHOTW,"Safety Shot, Inc.",Consumer Defensive,Beveragesâ€”Non-Alcoholic,United States,FL,33477
SHLS,"Shoals Technologies Group, Inc.",Technology,Solar,United States,TN,37148
SHOO,"Steven Madden, Ltd.",Consumer Cyclical,Footwear & Accessories,United States,NY,11104
SHPH,"Shuttle Pharmaceuticals Holdings, Inc.",Healthcare,Drug Manufacturersâ€”Specialty & Generic,United States,MD,20879
SIDU,"Sidus Space, Inc.",Industrials,Aerospace & Defense,United States,FL,32953
SHYF,"The Shyft Group, Inc.",Industrials,Farm & Heavy Construction Machinery,United States,MI,48375
SIEB,Siebert Financial Corp.,Financial Services,Capital Markets,United States,FL,33139
SIBN,"SI-BONE, Inc.",Healthcare,Medical Devices,United States,CA,95050
SIGIP,"Selective Insurance Group, Inc.",Financial Services,Insuranceâ€”Property & Casualty,United States,NJ,7890
SIGI,"Selective Insurance Group, Inc.",Financial Services,Insuranceâ€”Property & Casualty,United States,NJ,7890
SILK,"Silk Road Medical, Inc",Healthcare,Medical Devices,United States,CA,94089
SILO,"Silo Pharma, Inc.",Healthcare,Biotechnology,United States,FL,34236
SIGA,"SIGA Technologies, Inc.",Healthcare,Drug Manufacturersâ€”Specialty & Generic,United States,NY,10065
SITM,SiTime Corporation,Technology,Semiconductors,United States,CA,95054
SINT,"Sintx Technologies, Inc.",Healthcare,Medical Devices,United States,UT,84119
SIRI,Sirius XM Holdings Inc.,Communication Services,Entertainment,United States,NY,10020
SKGR,SK Growth Opportunities Corporation,Financial Services,Shell Companies,United States,NY,10003
SKWD,"Skyward Specialty Insurance Group, Inc.",Financial Services,Insuranceâ€”Property & Casualty,United States,TX,77024-4284
SKGRW,SK Growth Opportunities Corporation,Financial Services,Shell Companies,United States,NY,10003
SKGRU,SK Growth Opportunities Corporation,Financial Services,Shell Companies,United States,NY,10003
SKYT,"SkyWater Technology, Inc.",Technology,Semiconductors,United States,MN,55425
SKIN,The Beauty Health Company,Consumer Defensive,Household & Personal Products,United States,CA,90806
SKYW,"SkyWest, Inc.",Industrials,Airlines,United States,UT,84790
SLDP,"Solid Power, Inc.",Consumer Cyclical,Auto Parts,United States,CO,80027
SKYE,"Skye Bioscience, Inc.",Healthcare,Biotechnology,United States,CA,92130
SKYX,SKYX Platforms Corp.,Industrials,Electrical Equipment & Parts,United States,FL,33069
SLAB,Silicon Laboratories Inc.,Technology,Semiconductors,United States,TX,78701
SLDB,Solid Biosciences Inc.,Healthcare,Biotechnology,United States,MA,2129
SLDPW,"Solid Power, Inc.",Consumer Cyclical,Auto Parts,United States,CO,80027
SLE,"Super League Enterprise, Inc.",Communication Services,Internet Content & Information,United States,CA,90404
SLM,SLM Corporation,Financial Services,Credit Services,United States,DE,19713
SLNG,"Stabilis Solutions, Inc.",Energy,Oil & Gas Integrated,United States,TX,77079
SLNH,"Soluna Holdings, Inc.",Financial Services,Capital Markets,United States,NY,12205
SLS,"SELLAS Life Sciences Group, Inc.",Healthcare,Biotechnology,United States,NY,10036
SLMBP,SLM Corporation,Financial Services,Credit Services,United States,DE,19713
SLP,"Simulations Plus, Inc.",Healthcare,Health Information Services,United States,CA,93534-7059
SLNO,"Soleno Therapeutics, Inc.",Healthcare,Biotechnology,United States,CA,94065
